period,respondent,min temp,respondent-name,fueltype,fuel,timezone,timezone-description,generation,value-units
2021-02-16,ERCO,7,"Electric Reliability Council of Texas, Inc.",NG,Natural gas,Pacific,Pacific,689123,megawatthours
2021-02-16,ERCO,7,"Electric Reliability Council of Texas, Inc.",NG,Natural gas,Mountain,Mountain,690739,megawatthours
2021-02-16,ERCO,7,"Electric Reliability Council of Texas, Inc.",NG,Natural gas,Eastern,Eastern,694055,megawatthours
2021-02-16,ERCO,7,"Electric Reliability Council of Texas, Inc.",NG,Natural gas,Central,Central,692091,megawatthours
2021-02-16,ERCO,7,"Electric Reliability Council of Texas, Inc.",NG,Natural gas,Arizona,Arizona,690739,megawatthours
2021-02-16,ERCO,7,"Electric Reliability Council of Texas, Inc.",COL,Coal,Pacific,Pacific,172644,megawatthours
2021-02-16,ERCO,7,"Electric Reliability Council of Texas, Inc.",COL,Coal,Mountain,Mountain,174136,megawatthours
2021-02-16,ERCO,7,"Electric Reliability Council of Texas, Inc.",COL,Coal,Eastern,Eastern,175997,megawatthours
2021-02-16,ERCO,7,"Electric Reliability Council of Texas, Inc.",COL,Coal,Central,Central,175435,megawatthours
2021-02-16,ERCO,7,"Electric Reliability Council of Texas, Inc.",COL,Coal,Arizona,Arizona,174136,megawatthours
2021-02-16,ERCO,7,"Electric Reliability Council of Texas, Inc.",WND,Wind,Pacific,Pacific,92268,megawatthours
2021-02-16,ERCO,7,"Electric Reliability Council of Texas, Inc.",WND,Wind,Mountain,Mountain,91305,megawatthours
2021-02-16,ERCO,7,"Electric Reliability Council of Texas, Inc.",WND,Wind,Eastern,Eastern,88688,megawatthours
2021-02-16,MISO,-4,"Midcontinent Independent System Operator, Inc.",SUN,Solar,Pacific,Pacific,3086,megawatthours
2021-02-17,ERCO,21,"Electric Reliability Council of Texas, Inc.",WND,Wind,Arizona,Arizona,62865,megawatthours
2021-02-17,ERCO,21,"Electric Reliability Council of Texas, Inc.",WND,Wind,Central,Central,61884,megawatthours
2021-02-17,MISO,-15,"Midcontinent Independent System Operator, Inc.",SUN,Solar,Mountain,Mountain,1897,megawatthours
2021-02-17,MISO,-15,"Midcontinent Independent System Operator, Inc.",SUN,Solar,Eastern,Eastern,1897,megawatthours
2021-02-17,MISO,-15,"Midcontinent Independent System Operator, Inc.",SUN,Solar,Central,Central,1897,megawatthours
2021-02-17,MISO,-15,"Midcontinent Independent System Operator, Inc.",SUN,Solar,Arizona,Arizona,1897,megawatthours
2021-02-17,MISO,-15,"Midcontinent Independent System Operator, Inc.",NG,Natural gas,Pacific,Pacific,648791,megawatthours
2021-02-17,MISO,-15,"Midcontinent Independent System Operator, Inc.",NG,Natural gas,Mountain,Mountain,653490,megawatthours
2021-02-17,MISO,-15,"Midcontinent Independent System Operator, Inc.",NG,Natural gas,Eastern,Eastern,660857,megawatthours
2021-02-17,MISO,-15,"Midcontinent Independent System Operator, Inc.",NG,Natural gas,Central,Central,657005,megawatthours
2021-02-17,MISO,-15,"Midcontinent Independent System Operator, Inc.",NG,Natural gas,Arizona,Arizona,653490,megawatthours
2021-02-17,MISO,-15,"Midcontinent Independent System Operator, Inc.",COL,Coal,Pacific,Pacific,933819,megawatthours
2021-02-17,MISO,-15,"Midcontinent Independent System Operator, Inc.",COL,Coal,Mountain,Mountain,934607,megawatthours
2021-02-17,MISO,-15,"Midcontinent Independent System Operator, Inc.",COL,Coal,Eastern,Eastern,935692,megawatthours
2021-02-17,MISO,-15,"Midcontinent Independent System Operator, Inc.",COL,Coal,Central,Central,935333,megawatthours
2021-02-17,MISO,-15,"Midcontinent Independent System Operator, Inc.",COL,Coal,Arizona,Arizona,934607,megawatthours
2021-02-17,MISO,-15,"Midcontinent Independent System Operator, Inc.",WND,Wind,Pacific,Pacific,58434,megawatthours
2021-02-17,MISO,-15,"Midcontinent Independent System Operator, Inc.",WND,Wind,Mountain,Mountain,60405,megawatthours
2021-02-17,MISO,-15,"Midcontinent Independent System Operator, Inc.",WND,Wind,Eastern,Eastern,63880,megawatthours
